Method,Best_k,Accuracy,Macro_F1,Rank
RankGauss,9,0.9850374064837906,0.9850365689835315,1
Robust,5,0.9825436408977556,0.9825432066518653,2
Pareto,5,0.9825436408977556,0.9825432066518653,3
Decimal,5,0.9825436408977556,0.9825432066518653,4
Raw,5,0.9825436408977556,0.9825432066518653,5
Sqrt,5,0.9825436408977556,0.9825432066518653,6
BoxCox,5,0.9825436408977556,0.9825432066518653,7
ModifiedZ,5,0.9825436408977556,0.9825432066518653,8
MinMax,5,0.9800498753117207,0.9800487586447086,9
MeanNorm,5,0.9800498753117207,0.9800487586447086,10
ZScore,5,0.9800498753117207,0.9800487586447086,11
Log,5,0.9800498753117207,0.9800487586447086,12
MaxAbs,5,0.9800498753117207,0.9800487586447086,13
L2Norm,30,0.9800498753117207,0.9800487586447086,14
L1Norm,26,0.9800498753117207,0.9800487586447086,15
Quantile,25,0.9775561097256857,0.9775538762944305,16
YeoJohnson,20,0.9775561097256857,0.9775510838801977,17
Sigmoid,23,0.9675810473815462,0.9675778213141772,18
Tanh,29,0.9625935162094763,0.9625851398003297,19
Reciprocal,1,0.8528678304239401,0.85283488321463,20
Softmax,6,0.486284289276808,0.4784974747474748,21
